GEOID,State,Year,Type,GEO display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey,County
12001,Florida,2023,County,"Alachua County, Florida",112776,21886,32950,57940,5-Year,"Alachua County, Florida"
12003,Florida,2023,County,"Baker County, Florida",9012,1146,2555,5311,5-Year,"Baker County, Florida"
12005,Florida,2023,County,"Bay County, Florida",76118,8718,23503,43897,5-Year,"Bay County, Florida"
12007,Florida,2023,County,"Bradford County, Florida",9104,2016,2663,4425,5-Year,"Bradford County, Florida"
12009,Florida,2023,County,"Brevard County, Florida",251889,23935,85949,142005,5-Year,"Brevard County, Florida"
12011,Florida,2023,County,"Broward County, Florida",749372,96752,278431,374189,5-Year,"Broward County, Florida"
12013,Florida,2023,County,"Calhoun County, Florida",4625,997,1646,1982,5-Year,"Calhoun County, Florida"
12015,Florida,2023,County,"Charlotte County, Florida",87376,8297,32456,46623,5-Year,"Charlotte County, Florida"
12017,Florida,2023,County,"Citrus County, Florida",69701,10573,23432,35696,5-Year,"Citrus County, Florida"
12019,Florida,2023,County,"Clay County, Florida",81757,6887,24181,50689,5-Year,"Clay County, Florida"
12021,Florida,2023,County,"Collier County, Florida",160867,15288,55591,89988,5-Year,"Collier County, Florida"
12023,Florida,2023,County,"Columbia County, Florida",26720,4411,9482,12827,5-Year,"Columbia County, Florida"
12027,Florida,2023,County,"DeSoto County, Florida",12656,2419,5027,5210,5-Year,"DeSoto County, Florida"
12029,Florida,2023,County,"Dixie County, Florida",6130,1098,2524,2508,5-Year,"Dixie County, Florida"
12031,Florida,2023,County,"Duval County, Florida",405139,56483,119939,228717,5-Year,"Duval County, Florida"
12033,Florida,2023,County,"Escambia County, Florida",128292,17845,39884,70563,5-Year,"Escambia County, Florida"
12035,Florida,2023,County,"Flagler County, Florida",50296,4486,17974,27836,5-Year,"Flagler County, Florida"
12037,Florida,2023,County,"Franklin County, Florida",4918,809,1394,2715,5-Year,"Franklin County, Florida"
12039,Florida,2023,County,"Gadsden County, Florida",16485,3810,6598,6077,5-Year,"Gadsden County, Florida"
12041,Florida,2023,County,"Gilchrist County, Florida",6913,964,2480,3469,5-Year,"Gilchrist County, Florida"
12043,Florida,2023,County,"Glades County, Florida",4560,1038,1886,1636,5-Year,"Glades County, Florida"
12045,Florida,2023,County,"Gulf County, Florida",5800,736,1961,3103,5-Year,"Gulf County, Florida"
12047,Florida,2023,County,"Hamilton County, Florida",4360,1130,1264,1966,5-Year,"Hamilton County, Florida"
12049,Florida,2023,County,"Hardee County, Florida",8148,2078,2263,3807,5-Year,"Hardee County, Florida"
12051,Florida,2023,County,"Hendry County, Florida",13944,2556,5037,6351,5-Year,"Hendry County, Florida"
12053,Florida,2023,County,"Hernando County, Florida",80544,9970,33356,37218,5-Year,"Hernando County, Florida"
12055,Florida,2023,County,"Highlands County, Florida",45943,7415,15651,22877,5-Year,"Highlands County, Florida"
12057,Florida,2023,County,"Hillsborough County, Florida",569998,75044,193624,301330,5-Year,"Hillsborough County, Florida"
12059,Florida,2023,County,"Holmes County, Florida",7087,1135,3237,2715,5-Year,"Holmes County, Florida"
12061,Florida,2023,County,"Indian River County, Florida",68696,7382,23829,37485,5-Year,"Indian River County, Florida"
12063,Florida,2023,County,"Jackson County, Florida",17038,3174,6882,6982,5-Year,"Jackson County, Florida"
12065,Florida,2023,County,"Jefferson County, Florida",5675,1241,1835,2599,5-Year,"Jefferson County, Florida"
12067,Florida,2023,County,"Lafayette County, Florida",2619,497,876,1246,5-Year,"Lafayette County, Florida"
12069,Florida,2023,County,"Lake County, Florida",159474,15954,62125,81395,5-Year,"Lake County, Florida"
12071,Florida,2023,County,"Lee County, Florida",319588,36455,113891,169242,5-Year,"Lee County, Florida"
12073,Florida,2023,County,"Leon County, Florida",120673,22034,34434,64205,5-Year,"Leon County, Florida"
12075,Florida,2023,County,"Levy County, Florida",17976,3022,6247,8707,5-Year,"Levy County, Florida"
12077,Florida,2023,County,"Liberty County, Florida",2554,525,862,1167,5-Year,"Liberty County, Florida"
12079,Florida,2023,County,"Madison County, Florida",6980,1332,2683,2965,5-Year,"Madison County, Florida"
12081,Florida,2023,County,"Manatee County, Florida",168504,16440,57791,94273,5-Year,"Manatee County, Florida"
12083,Florida,2023,County,"Marion County, Florida",159796,22042,57589,80165,5-Year,"Marion County, Florida"
12085,Florida,2023,County,"Martin County, Florida",67820,7102,21895,38823,5-Year,"Martin County, Florida"
12086,Florida,2023,County,"Miami-Dade County, Florida",964805,155172,385641,423992,5-Year,"Miami-Dade County, Florida"
12087,Florida,2023,County,"Monroe County, Florida",34620,3606,13053,17961,5-Year,"Monroe County, Florida"
12089,Florida,2023,County,"Nassau County, Florida",38112,3688,9062,25362,5-Year,"Nassau County, Florida"
12091,Florida,2023,County,"Okaloosa County, Florida",84123,7490,24180,52453,5-Year,"Okaloosa County, Florida"
12093,Florida,2023,County,"Okeechobee County, Florida",15187,2567,6094,6526,5-Year,"Okeechobee County, Florida"
12095,Florida,2023,County,"Orange County, Florida",508907,65388,165092,278427,5-Year,"Orange County, Florida"
12097,Florida,2023,County,"Osceola County, Florida",131365,16432,52360,62573,5-Year,"Osceola County, Florida"
12099,Florida,2023,County,"Palm Beach County, Florida",597053,65471,223380,308202,5-Year,"Palm Beach County, Florida"
12101,Florida,2023,County,"Pasco County, Florida",229860,27292,94658,107910,5-Year,"Pasco County, Florida"
12103,Florida,2023,County,"Pinellas County, Florida",423242,49247,150682,223313,5-Year,"Pinellas County, Florida"
12105,Florida,2023,County,"Polk County, Florida",276643,39295,96450,140898,5-Year,"Polk County, Florida"
12107,Florida,2023,County,"Putnam County, Florida",30650,7218,10092,13340,5-Year,"Putnam County, Florida"
12109,Florida,2023,County,"St. Johns County, Florida",108827,7743,27268,73816,5-Year,"St. Johns County, Florida"
12111,Florida,2023,County,"St. Lucie County, Florida",131640,15116,49100,67424,5-Year,"St. Lucie County, Florida"
12113,Florida,2023,County,"Santa Rosa County, Florida",71250,6287,19463,45500,5-Year,"Santa Rosa County, Florida"
12115,Florida,2023,County,"Sarasota County, Florida",205503,17051,68766,119686,5-Year,"Sarasota County, Florida"
12117,Florida,2023,County,"Seminole County, Florida",185396,16902,62230,106264,5-Year,"Seminole County, Florida"
12119,Florida,2023,County,"Sumter County, Florida",66941,5377,20759,40805,5-Year,"Sumter County, Florida"
12121,Florida,2023,County,"Suwannee County, Florida",15567,2270,5669,7628,5-Year,"Suwannee County, Florida"
12123,Florida,2023,County,"Taylor County, Florida",7571,1206,3409,2956,5-Year,"Taylor County, Florida"
12125,Florida,2023,County,"Union County, Florida",4192,715,1104,2373,5-Year,"Union County, Florida"
12127,Florida,2023,County,"Volusia County, Florida",237396,28738,82378,126280,5-Year,"Volusia County, Florida"
12129,Florida,2023,County,"Wakulla County, Florida",12187,789,4470,6928,5-Year,"Wakulla County, Florida"
12131,Florida,2023,County,"Walton County, Florida",32659,3573,9358,19728,5-Year,"Walton County, Florida"
12133,Florida,2023,County,"Washington County, Florida",9282,1607,3398,4277,5-Year,"Washington County, Florida"
