GEOID,State,Year,Type,GEO display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey,County
1207300,Florida,2023,Place,"Boca Raton city, Florida",41274,4657,10363,26254,1-Year,"Palm Beach County, Florida"
1208150,Florida,2023,Place,"Brandon CDP, Florida",44579,5398,13727,25454,1-Year,"Hillsborough County, Florida"
1210275,Florida,2023,Place,"Cape Coral city, Florida",83021,8947,29026,45048,1-Year,"Lee County, Florida"
1212875,Florida,2023,Place,"Clearwater city, Florida",52536,5238,18497,28801,1-Year,"Pinellas County, Florida"
1216525,Florida,2023,Place,"Daytona Beach city, Florida",33906,6640,14078,13188,1-Year,"Volusia County, Florida"
1216725,Florida,2023,Place,"Deerfield Beach city, Florida",34846,5855,15308,13683,1-Year,"Broward County, Florida"
1224000,Florida,2023,Place,"Fort Lauderdale city, Florida",81232,12972,24662,43598,1-Year,"Broward County, Florida"
1224125,Florida,2023,Place,"Fort Myers city, Florida",39447,6410,15318,17719,1-Year,"Lee County, Florida"
1225175,Florida,2023,Place,"Gainesville city, Florida",65576,17989,20387,27200,1-Year,"Alachua County, Florida"
1230000,Florida,2023,Place,"Hialeah city, Florida",78792,15669,36272,26851,1-Year,"Miami-Dade County, Florida"
1232000,Florida,2023,Place,"Hollywood city, Florida",61197,10096,24989,26112,1-Year,"Broward County, Florida"
1235000,Florida,2023,Place,"Jacksonville city, Florida",409221,60704,114805,233712,1-Year,"Duval County, Florida"
1238250,Florida,2023,Place,"Lakeland city, Florida",51663,8616,19422,23625,1-Year,"Polk County, Florida"
1239425,Florida,2023,Place,"Largo city, Florida",37626,3956,14436,19234,1-Year,"Pinellas County, Florida"
1239925,Florida,2023,Place,"Lehigh Acres CDP, Florida",40585,5942,17860,16783,1-Year,"Lee County, Florida"
1243975,Florida,2023,Place,"Melbourne city, Florida",36223,5074,13638,17511,1-Year,"Brevard County, Florida"
1245000,Florida,2023,Place,"Miami city, Florida",201102,36747,75492,88863,1-Year,"Miami-Dade County, Florida"
1245025,Florida,2023,Place,"Miami Beach city, Florida",37894,5666,14938,17290,1-Year,"Miami-Dade County, Florida"
1245060,Florida,2023,Place,"Miami Gardens city, Florida",34688,4230,16515,13943,1-Year,"Miami-Dade County, Florida"
1253000,Florida,2023,Place,"Orlando city, Florida",141669,19478,51212,70979,1-Year,"Orange County, Florida"
1258050,Florida,2023,Place,"Pompano Beach city, Florida",51440,8813,20738,21889,1-Year,"Broward County, Florida"
1258715,Florida,2023,Place,"Port St. Lucie city, Florida",90069,8322,31539,50208,1-Year,"St. Lucie County, Florida"
1263000,Florida,2023,Place,"St. Petersburg city, Florida",123605,13270,43151,67184,1-Year,"Pinellas County, Florida"
